id,title,url,subtitle,rating,reviews,hours,lectures,level,currentPrice,originalPrice
60,70+ JavaScript Challenges: Data Structures & Algorithms,https://www.udemy.com/course/javascript-challenges/,Build better foundational skills as a developer by doing challenges and learning about <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong>,4.8,5431,12.5,114,Intermediate,"249,000","₫1,499,000"
61,100 Leetcode Challenge - Coding Interview,https://www.udemy.com/course/100-leetcode-algorithm-questions-for-technical-interview/,"Learn <strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong>, and prepare interviews for FAANG companies.",4.6,5214,12.0,101,Beginner,"649,000","₫999,000"
62,Introduction to Data Structures & Algorithms in Java,https://www.udemy.com/course/introduction-to-data-structures-algorithms-in-java/,Designed to help understand the fundamentals of DS & <strong>Algorithms</strong> really well. A must have for programming interviews.,4.4,53462,5.0,103,All Levels,"249,000","₫399,000"
63,Competititve Programming & Coding Interviews - Python,https://www.udemy.com/course/the-bible-of-competititve-programming-part-2/,Build the foundation in <strong>Algorithms</strong> and <strong>Data</strong> <strong>Structures</strong> to ace Competitive Programming & Coding Interviews,4.9,511,28.0,77,All Levels,"249,000","₫1,499,000"
64,The Complete Data Structures and Algorithms Course in Java,https://www.udemy.com/course/data-structures-and-algorithms-for-coding-interview/,Build your strong understanding in <strong>data</strong> <strong>structures</strong> and <strong>algorithms</strong> for coding interview. Get more job offer.,3.8,5456,20.5,179,All Levels,"249,000","₫399,000"
65,Dynamic Programming Algorithms Master Course,https://www.udemy.com/course/dynamic-programming-master-course-coding-minutes/,"Ultimate Specialisation on Recursion, Backtracking and Dynamic Programming for Competitive Coding &amp; Interviews.",4.1,5511,44.5,243,All Levels,"249,000","₫1,499,000"
66,Data Structures Algorithm DSA | Python+Javascript LEETCODE,https://www.udemy.com/course/data-structures-and-algorithms-dsa/,"Ultimate 25 days coding interview bootcamp. DSA, BigO, Coding Interview Patterns Python Javascript Get the job you want!",4.6,5786,40.0,323,All Levels,"249,000","₫1,049,000"
67,Algorithms + Data Structures + Coding Interviews with Python,https://www.udemy.com/course/algorithms-data-structures-coding-interviews-with-python/,Learn <strong>algorithms</strong> and <strong>data</strong> <strong>structures</strong> using Python. Practice solving popular coding questions to ace your next interview!,4.4,514,12.5,63,Beginner,"249,000","₫399,000"
68,Data Structures and Algorithms In Java ( DSA ),https://www.udemy.com/course/data-structures-and-algorithms-in-java/,<strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in Java Using Java DSA <strong>Data</strong> <strong>Structures</strong> LeetCode Java DSA Java <strong>Data</strong> <strong>Structures</strong> <strong>Algorithms</strong>,3.9,5714,10.5,149,All Levels,"299,000","₫449,000"
69,The Swift Arcade Data Structures and Algorithms Bootcamp,https://www.udemy.com/course/the-swift-arcade-data-structures-and-algorithms-bootcamp/,How to ace your Silicon Valley style coding interview,4.6,5599,7.0,120,Beginner,"249,000","₫1,299,000"
70,Data Structures and Algorithms in java,https://www.udemy.com/course/data-structures-and-algorithms-using-java/,"<strong>Data</strong> <strong>Structures</strong> and <strong>algorithms</strong>: Binary Search Tree (BST), Linked List, Stack, Queue, Array, Selection and Insertion Sort",4.6,5241,2.5,44,All Levels,"249,000","₫399,000"
71,Blind 75 LeetCode Questions: Ace Algorithms Coding Interview,https://www.udemy.com/course/blind-75-leetcode-questions-ace-algorithms-coding-interview/,Top 75 LeetCode <strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> Questions for Coding Interviews. Get a job offer from MAANG company.,4.6,5150,26.5,78,All Levels,"249,000","₫1,049,000"
72,"Recursion, Backtracking and Dynamic Programming in Java",https://www.udemy.com/course/algorithmic-problems-in-java/,"Competitive Programming with Common Interview Questions (Recursion, Backtracking and Divide and Conquer <strong>Algorithms</strong>)",4.5,51461,15.0,137,All Levels,"249,000","₫1,099,000"
73,Data Structures and Algorithms In C ( DSA ),https://www.udemy.com/course/data-structures-and-algorithms-in-c/,<strong>Data</strong> <strong>Structures</strong> and <strong>Algorithms</strong> in C Using C DSA <strong>Data</strong> <strong>Structures</strong> <strong>Algorithms</strong> LeetCode C DSA C viva MCQ Interview Questions,4.2,51257,10.5,151,All Levels,"299,000","₫449,000"
74,Complete C++ Programming with Data Structures and Algorithms,https://www.udemy.com/course/c-plus-plus-programming/,"C++ Programming basics to Arrays, Strings, Pointers, Recursion, OOP's, Linked Lists, Stacks, Queues, Trees, Graphs ,DP",4.3,579,56.5,241,All Levels,"249,000","₫399,000"
